"Country","conspiracy","gdp","inequality","corruption","political_stability","pisa_math","pisa_reading","pisa_science","university_graduates","human_development_index","weirdness","hospitalbeds_per_1000_people","pandemic_response","power_distance","individualism","masculinity","uncertainty_avoidance","longterm_orientation","indulgence","dataset","vi"
"Sweden",1.22,71844.9129880579,29.3,-80,76.2033355,482,487,494,34.883027208531,0.959,0.1242,1.9,64.9,31,71,5,29,52.896725440806,77.6785714285714,"ManyLabs COVID",0.0025
"Turkey",4.76,45639.0192735944,43.7,-31,49.3131044,453,456,476,21.8643391177776,0.853,0.1296,3.05,50,66,37,45,85,45.5919395465995,49.1071428571429,"ManyLabs COVID",0.0064
"Taiwan",4.79,NA,NA,-68,81.5526095,547,515,537,NA,NA,0.107,NA,NA,58,17,45,69,92.9471032745592,49.1071428571429,"ManyLabs COVID",0.0081
"Ukraine",4.68,18550.462890625,25.6,-36,58.5097612,441,428,450,34.7476005554199,0.779,0.0982,6.14,38.9,NA,NA,NA,NA,86.3979848866499,14.2857142857143,"ManyLabs COVID",0.0144
"UAE",4.18,79228.738801276,26.4,-69,79.3661459,431,417,432,52.6613883972168,0.94,NA,1.87,39.6,NA,NA,NA,NA,NA,NA,"ManyLabs COVID",0.0361
"USA",4.13,85809.9003846359,41.8,-64,64.2697196,465,504,499,39.0593910217285,0.938,0,2.68,75.9,40,91,62,46,25.6926952141058,68.0803571428571,"ManyLabs COVID",0.0064
"South Africa",2.66,15456.1989933658,54.1,-41,55.3527432,NA,NA,NA,14.3510103225708,0.741,0.0851,2.25,45.8,NA,NA,NA,NA,34,63,"ManyLabs COVID",0.01
"Australia",1.31,72111.1844628126,33.8,-76,79.4447025,487,498,507,36.7831484305008,0.958,0.0381,3.82,71.1,38,90,61,51,21.1586901763224,71.4285714285714,"Rutjens",0.0025
"Belgium",1.83,73514.4831045258,26.8,-69,67.9689981,489,479,491,37.4110337879949,0.951,NA,5.42,59.3,65,75,54,94,81.8639798488665,56.6964285714286,"Rutjens",0.0049
"Brazil",1.33,22338.4765640635,50.3,-35,57.0022212,379,410,403,17.1936798095703,0.786,0.0802,2.52,51.2,69,38,49,76,43.8287153652393,59.1517857142857,"Rutjens",0.0025
"Canada",1.27,64610.3795171971,31.5,-75,76.1173365,497,507,515,34.6594141975685,0.939,0.0253,2.54,69.8,39,80,52,48,36.0201511335013,68.3035714285714,"Rutjens",0.0025
"China",1.96,27104.8702677463,36,-43,63.2751622,NA,NA,NA,7.67750978469849,0.797,0.171,5.63,47.5,80,20,66,30,87.4055415617128,23.6607142857143,"Rutjens",0.01
"Egypt",2.89,19094.1449444111,28.5,-30,49.1898949,NA,NA,NA,18.0522908453089,0.754,0.2468,1.06,28,NA,NA,NA,NA,6.80100755667506,4.24107142857143,"Rutjens",0.0121
"France",2.09,62556.91810454,31.8,-66,61.771486,474,474,487,24.3546212580131,0.92,0.0988,5.65,61.9,68,71,43,86,63.4760705289672,47.7678571428571,"Rutjens",0.01
"Germany",1.48,73551.9347696836,33.7,-77,68.0170742,475,480,492,30.5294541601323,0.959,0.0851,7.55,65.5,35,67,66,65,82.8715365239295,40.4017857142857,"Rutjens",0.0036
"Iran",1.85,19873.8860853805,35.9,-23,38.8851649,NA,NA,NA,17.9231829043501,0.799,0.1553,1.85,36.5,58,41,43,59,13.6020151133501,40.4017857142857,"Rutjens",0.0064
"Israel",2.3,57235.7763244136,38.3,-62,48.1722073,458,474,465,38.2999787289694,0.919,NA,3.14,47.2,13,54,47,81,37.5314861460957,NA,"Rutjens",0.01
"Italy",1.33,62014.2675153689,34.3,-53,71.1675431,471,482,477,17.5816398207436,0.915,0.064,3.06,51.9,50,76,70,75,61.4609571788413,29.6875,"Rutjens",0.0025
"Mexico",1.75,26185.3564713253,42.6,-27,53.6732923,395,415,410,18.3770809173584,0.789,0.0845,1.01,57,81,30,69,82,24.1813602015113,97.3214285714286,"Rutjens",0.01
"Morocco",2.36,10415.1240234375,39.5,-39,58.3648187,365,339,365,NA,0.71,0.1595,0.73,33.6,70,46,53,68,14.1057934508816,25.4464285714286,"Rutjens",0.0121
"Netherlands",1.7,86173.6290841738,25.7,-78,73.2073612,493,459,488,36.5573313987755,0.955,0.0961,2.42,64.7,38,80,14,53,67.0025188916877,68.3035714285714,"Rutjens",0.0049
"North Macedonia",2.28,26995.4292563497,33.5,-40,68.5558552,389,359,380,20.033219660169,0.815,NA,4.74,42.2,NA,NA,NA,NA,61.712846347607,35.2678571428571,"Rutjens",0.0121
"Poland",1.73,51262.5105756884,28.5,-53,74.4122187,489,489,499,27.7237205505371,0.906,0.0885,6.04,55.7,68,60,64,93,37.7833753148615,29.2410714285714,"Rutjens",0.0081
"Portugal",1.41,51679.8883807527,33.9,-56,75.0659657,472,477,484,24.9081630188819,0.89,NA,3.48,54.7,63,27,31,104,28.2115869017632,33.2589285714286,"Rutjens",0.0036
